"datetime","Q_cfs","No3_mg.l","hour","TP","T2M","RO","ROSS","ROS","VSWL1","VSWL2","VSWL3","VSWL4","SNSR","CP","LSP"
2015-10-01 00:00:00,2.08,1.67,0,0.021,17.99,0.003,0.002,0,0.405,0.403,0.252,0.308,0,0.001,0.021
2015-10-01 01:00:00,2.04,1.75,1,0.007,17.71,0.003,0.002,0,0.404,0.402,0.253,0.308,0,0,0.007
2015-10-01 02:00:00,2,1.8,2,0,17.21,0.003,0.002,0,0.402,0.401,0.253,0.308,0,0,0
2015-10-01 03:00:00,1.98,1.85,3,0,16.01,0.003,0.002,0,0.401,0.4,0.253,0.308,0,0,0
2015-10-01 04:00:00,1.92,1.87,4,0,15.51,0.003,0.002,0,0.4,0.399,0.254,0.308,0,0,0
2015-10-01 05:00:00,1.89,1.89,5,0,14.66,0.003,0.002,0,0.399,0.399,0.254,0.308,0,0,0
2015-10-01 06:00:00,1.87,1.92,6,0,14.14,0.003,0.002,0,0.398,0.398,0.254,0.308,0,0,0
2015-10-01 07:00:00,1.84,1.96,7,0.007,14.11,0.003,0.002,0,0.397,0.397,0.255,0.308,0,0,0.008
2015-10-01 08:00:00,1.82,1.96,8,0,13.83,0.003,0.002,0,0.396,0.396,0.255,0.308,0,0,0
2015-10-01 09:00:00,1.8,1.98,9,0,13.23,0.003,0.002,0,0.395,0.396,0.255,0.308,0,0,0
2015-10-01 10:00:00,1.78,2,10,0,12.95,0.003,0.002,0,0.395,0.395,0.256,0.308,0,0,0
2015-10-01 11:00:00,1.76,2,11,0,12.9,0.003,0.002,0,0.394,0.394,0.257,0.308,0,0,0
2015-10-01 12:00:00,1.74,2.03,12,0,12.47,0.003,0.002,0,0.393,0.394,0.257,0.308,11318.198,0,0
2015-10-01 13:00:00,1.72,2.03,13,0,12.09,0.003,0.002,0,0.392,0.393,0.257,0.308,85833.516,0,0
2015-10-01 14:00:00,1.71,2.06,14,0,11.97,0.003,0.002,0,0.392,0.392,0.257,0.308,214999.56,0,0
2015-10-01 15:00:00,1.7,2.07,15,0,12.09,0.003,0.002,0,0.391,0.392,0.258,0.308,262027.826,0,0
2015-10-01 16:00:00,1.69,2.08,16,0.001,12.08,0.003,0.002,0,0.39,0.391,0.258,0.308,301987.993,0,0.001
2015-10-01 17:00:00,1.67,2.09,17,0.002,12.11,0.003,0.002,0,0.389,0.39,0.258,0.308,343749.833,0,0.003
2015-10-01 18:00:00,1.66,2.12,18,0,11.95,0.003,0.002,0,0.388,0.39,0.258,0.308,255606.481,0,0
2015-10-01 19:00:00,1.65,2.12,19,0.075,12.21,0.003,0.002,0.001,0.387,0.389,0.258,0.308,294873.698,0,0.076
2015-10-01 20:00:00,1.64,2.14,20,0.064,11.92,0.003,0.002,0,0.387,0.388,0.259,0.308,143394.635,0,0.063
2015-10-01 21:00:00,1.63,2.15,21,0.067,11.36,0.003,0.002,0,0.391,0.388,0.259,0.308,148568.669,0,0.067
2015-10-01 22:00:00,1.62,2.18,22,0.074,11.16,0.004,0.002,0.001,0.387,0.387,0.259,0.308,55297.48,0,0.074
2015-10-01 23:00:00,1.61,2.2,23,0.014,11.17,0.003,0.002,0,0.387,0.387,0.259,0.308,16815.608,0,0.013
2015-10-02 00:00:00,1.6,2.22,0,0.008,11.13,0.003,0.002,0,0.386,0.386,0.26,0.308,0,0,0.008
2015-10-02 01:00:00,1.6,2.23,1,0.022,11.15,0.003,0.002,0,0.385,0.386,0.26,0.308,0,0,0.022
2015-10-02 02:00:00,1.59,2.25,2,0.019,11.37,0.003,0.002,0,0.385,0.385,0.26,0.308,0,0,0.02
2015-10-02 03:00:00,1.58,2.26,3,0.025,11.28,0.003,0.002,0,0.385,0.385,0.26,0.308,0,0,0.024
2015-10-02 04:00:00,1.58,2.28,4,0.024,11.55,0.003,0.002,0,0.384,0.384,0.26,0.308,0,0,0.024
2015-10-02 05:00:00,1.57,2.3,5,0.022,11.42,0.003,0.002,0,0.384,0.384,0.26,0.308,0,0,0.022
2015-10-02 06:00:00,1.57,2.32,6,0.021,11.51,0.003,0.002,0,0.383,0.383,0.261,0.308,0,0,0.021
2015-10-02 07:00:00,1.57,2.33,7,0.137,11.57,0.004,0.002,0.001,0.383,0.383,0.261,0.308,0,0,0.137
2015-10-02 08:00:00,1.57,2.35,8,0.197,11.28,0.004,0.002,0.002,0.382,0.382,0.261,0.308,0,0,0.197
2015-10-02 09:00:00,1.56,2.36,9,0.273,10.89,0.006,0.002,0.003,0.382,0.382,0.261,0.308,0,0.001,0.272
2015-10-02 10:00:00,1.58,2.37,10,0.329,10.74,0.006,0.002,0.004,0.388,0.382,0.261,0.308,0,0.002,0.328
2015-10-02 11:00:00,1.56,2.38,11,0.428,10.57,0.007,0.002,0.005,0.39,0.381,0.262,0.308,0,0.003,0.425
2015-10-02 12:00:00,1.57,2.4,12,0.704,10.17,0.013,0.002,0.01,0.396,0.381,0.262,0.308,7299.083,0.002,0.702
2015-10-02 13:00:00,1.58,2.42,13,0.907,9.88,0.019,0.002,0.017,0.405,0.381,0.262,0.308,34046.987,0.001,0.907
2015-10-02 14:00:00,1.58,2.44,14,0.993,9.46,0.021,0.002,0.019,0.413,0.382,0.262,0.308,54419.742,0,0.993
2015-10-02 15:00:00,1.59,2.47,15,1.013,9.12,0.021,0.002,0.019,0.419,0.383,0.262,0.308,71558.728,0,1.013
2015-10-02 16:00:00,1.6,2.49,16,0.903,9.02,0.018,0.002,0.016,0.423,0.385,0.262,0.308,150924.702,0,0.903
2015-10-02 17:00:00,1.6,2.52,17,0.904,8.97,0.018,0.002,0.016,0.425,0.387,0.263,0.308,176101.917,0,0.904
2015-10-02 18:00:00,1.6,2.55,18,0.891,8.78,0.018,0.002,0.016,0.425,0.389,0.263,0.308,190469.098,0,0.891
2015-10-02 19:00:00,1.65,2.57,19,1.151,8.85,0.024,0.002,0.022,0.429,0.392,0.263,0.308,101263.222,0,1.151
